,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
179,MS,F,16,U,LE3,T,2,1,other,other,course,mother,1,1,0,no,yes,no,no,yes,yes,no,no,4,2,3,1,5,1,0,16,-3,5
180,GP,F,16,U,GT3,T,0,1,other,other,course,mother,0,2,0,no,yes,no,yes,yes,no,yes,no,3,2,2,1,2,4,3,4,6,14
181,GP,F,15,U,GT3,A,2,0,other,other,course,mother,1,0,0,no,no,no,no,yes,no,yes,no,4,3,3,0,1,4,0,7,7,19
182,GP,M,15,R,GT3,T,1,0,other,other,course,mother,0,0,0,no,yes,no,no,yes,yes,no,no,3,2,4,1,1,4,2,11,4,19
183,GP,M,16,U,GT3,T,3,1,other,other,other,mother,2,2,0,no,no,no,no,yes,yes,yes,no,2,3,2,0,3,1,1,12,7,17
184,MS,M,17,R,GT3,T,1,1,other,other,reputation,mother,1,1,0,no,no,no,no,yes,yes,no,yes,3,2,4,1,1,5,16,7,10,9
185,MS,F,17,U,GT3,T,3,0,teacher,services,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,3,0,1,3,12,12,8,12
186,GP,M,16,U,GT3,T,0,0,teacher,services,other,mother,0,0,0,no,yes,no,no,yes,yes,no,no,3,3,4,0,1,5,21,6,9,19
187,GP,M,17,R,GT3,T,4,1,other,services,course,mother,0,2,0,no,no,no,no,yes,yes,yes,yes,4,2,2,2,1,4,0,14,10,5
188,GP,M,15,R,GT3,T,0,3,other,other,reputation,father,0,0,0,no,yes,no,yes,yes,yes,yes,no,3,3,2,1,3,0,0,13,6,13
189,MS,M,17,R,LE3,T,2,4,other,other,other,mother,4,0,0,no,no,no,no,yes,yes,yes,yes,3,4,4,1,2,4,0,11,4,14
190,GP,M,15,U,GT3,T,2,3,other,other,reputation,mother,0,0,0,yes,no,no,yes,yes,yes,no,no,0,2,3,6,1,4,13,9,3,20
191,GP,F,15,U,GT3,T,0,0,other,teacher,course,mother,0,2,0,no,yes,no,yes,no,yes,yes,no,4,2,2,1,1,4,2,14,9,6
192,MS,M,15,U,GT3,T,1,1,at_home,other,reputation,mother,0,1,0,no,yes,no,no,yes,yes,yes,no,3,2,2,1,1,4,15,13,12,11
193,GP,F,18,R,LE3,T,0,0,health,other,home,father,0,1,0,no,no,no,no,no,yes,yes,no,3,1,3,1,1,4,0,10,8,7
194,GP,M,15,U,GT3,T,3,-2,other,services,course,other,0,0,0,no,no,no,yes,yes,yes,yes,no,3,2,2,1,0,4,1,4,11,6
195,GP,M,16,U,GT3,T,1,0,other,services,home,mother,1,1,1,no,no,no,yes,yes,yes,yes,no,3,2,2,1,4,5,0,6,3,11
196,GP,F,15,U,GT3,T,1,1,teacher,other,course,mother,0,1,4,no,no,no,no,yes,yes,yes,yes,3,2,2,6,3,5,2,5,9,9
197,GP,M,14,R,GT3,T,0,2,at_home,other,reputation,mother,0,1,0,no,no,no,no,yes,yes,no,yes,3,3,3,1,1,5,3,9,10,16
198,GP,F,15,R,GT3,T,0,0,at_home,other,reputation,father,1,2,0,no,no,no,no,yes,no,yes,yes,4,3,2,0,1,3,3,12,9,14
199,GP,M,16,U,GT3,T,1,3,other,other,course,father,0,1,0,no,no,no,no,yes,yes,yes,yes,4,2,3,1,0,3,0,4,8,15
200,GP,M,16,U,GT3,T,3,3,services,other,course,mother,2,0,0,no,yes,no,no,yes,yes,yes,no,2,3,1,0,0,5,2,0,10,13
201,MS,M,15,U,GT3,T,2,2,other,health,home,mother,1,2,0,no,no,no,no,yes,yes,no,yes,3,2,3,1,0,4,5,8,15,15
202,MS,M,16,U,GT3,T,0,0,other,other,reputation,mother,2,1,0,yes,no,no,no,yes,yes,yes,yes,3,2,3,1,1,4,0,9,9,15
203,GP,F,16,R,GT3,T,2,4,other,services,other,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,4,4,1,1,4,5,13,9,10
204,GP,M,17,U,LE3,T,3,0,services,other,course,mother,0,2,0,no,no,no,yes,no,yes,yes,no,4,3,1,0,1,2,27,5,15,9
205,MS,M,14,U,LE3,T,2,1,other,services,course,mother,0,1,0,no,yes,no,yes,yes,yes,yes,no,3,1,4,1,1,0,1,9,10,6
206,MS,F,15,U,GT3,T,2,0,other,other,course,mother,0,0,0,no,yes,no,no,yes,yes,yes,yes,4,3,5,1,1,2,9,5,8,6
207,MS,F,15,U,GT3,T,1,0,services,other,home,mother,0,1,0,no,no,no,yes,yes,yes,no,yes,4,1,2,0,3,4,0,0,6,14
208,MS,F,21,U,GT3,T,1,2,teacher,teacher,other,mother,1,1,0,no,yes,no,yes,yes,yes,no,no,3,2,2,0,1,0,1,5,4,19
209,GP,F,17,U,GT3,T,2,0,other,at_home,home,mother,1,0,1,no,no,no,yes,yes,yes,yes,no,4,2,3,1,5,2,6,9,4,10
210,GP,M,15,U,GT3,T,0,0,services,services,home,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,4,1,1,3,0,6,9,12
211,MS,F,16,U,LE3,T,3,0,at_home,services,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,3,4,2,1,1,4,0,13,10,13
212,MS,M,16,R,GT3,T,1,2,services,other,home,father,1,1,0,no,yes,no,no,yes,yes,no,no,4,2,2,1,1,4,0,5,10,11
213,MS,F,16,U,GT3,T,3,3,at_home,teacher,course,father,0,1,1,no,yes,yes,no,yes,yes,yes,yes,4,4,5,1,0,5,3,12,6,4
214,GP,F,18,U,GT3,T,3,3,at_home,other,course,mother,1,1,0,no,yes,no,no,no,yes,no,no,4,3,3,1,4,1,2,8,12,18
215,MS,M,17,U,GT3,T,0,2,teacher,other,course,father,0,1,0,no,yes,no,no,yes,yes,no,no,2,3,4,2,1,5,0,3,8,11
216,MS,F,15,R,GT3,T,3,0,other,services,course,father,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,2,5,1,1,2,3,6,8,11
217,GP,M,16,U,GT3,T,1,0,other,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,4,2,3,0,0,4,0,5,-3,12
218,GP,M,16,U,LE3,T,1,1,services,at_home,reputation,mother,1,1,0,no,no,no,yes,yes,no,yes,no,3,2,3,1,3,3,9,4,10,6
219,GP,F,15,R,LE3,T,1,0,health,health,course,mother,2,0,0,no,yes,no,yes,yes,yes,yes,no,4,4,2,1,1,5,0,6,2,13
220,GP,F,16,R,GT3,T,2,0,at_home,other,course,mother,0,0,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,0,0,3,8,14
221,MS,M,16,U,LE3,T,1,1,health,other,home,father,1,0,0,yes,no,no,no,no,yes,yes,no,4,3,3,2,0,4,3,8,11,15
222,GP,F,16,U,LE3,T,2,3,other,other,home,other,0,2,0,no,yes,no,no,yes,yes,yes,yes,3,3,3,1,5,4,0,13,7,9
223,GP,F,15,U,GT3,T,1,3,other,services,reputation,mother,0,1,0,no,yes,no,yes,yes,yes,no,yes,4,1,3,1,3,5,0,9,6,6
224,MS,F,15,R,LE3,A,1,0,services,other,reputation,mother,0,1,0,no,yes,no,no,no,yes,yes,yes,3,3,2,1,1,5,11,5,11,10
225,MS,F,15,U,LE3,T,4,1,services,teacher,reputation,father,0,0,0,no,no,no,yes,yes,yes,no,no,4,2,3,1,1,4,0,8,7,13
226,MS,F,16,U,LE3,T,1,0,services,health,other,mother,1,1,0,yes,yes,no,yes,no,yes,yes,yes,4,2,1,1,1,4,0,7,12,8
227,GP,M,16,U,LE3,T,3,2,services,at_home,reputation,father,1,1,0,no,no,no,yes,yes,yes,yes,yes,4,2,3,1,1,5,0,6,4,17
228,MS,M,18,U,GT3,A,-2,1,other,other,reputation,mother,0,0,0,no,yes,no,yes,yes,yes,yes,no,4,2,4,1,3,4,9,4,4,1
229,GP,F,16,R,GT3,T,1,0,at_home,other,home,mother,0,0,0,no,yes,yes,yes,yes,yes,yes,no,5,3,2,1,3,4,4,9,9,15
230,MS,F,14,R,LE3,T,0,0,services,other,reputation,mother,0,0,0,no,no,no,no,yes,yes,no,no,3,3,3,0,1,5,1,7,12,17
231,GP,M,16,R,GT3,T,1,2,other,services,reputation,mother,2,2,0,no,no,no,no,yes,yes,no,no,4,3,5,1,1,4,16,5,5,14
232,MS,M,15,R,GT3,T,1,1,services,other,other,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,2,2,1,2,4,0,5,9,13
233,GP,F,17,U,GT3,T,0,1,other,other,course,father,0,0,0,no,no,no,yes,yes,yes,yes,yes,4,3,3,0,1,2,0,5,10,14
234,MS,M,17,U,GT3,T,2,2,other,services,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,3,2,2,1,3,4,5,7,14,10
235,MS,F,16,U,LE3,T,3,1,services,services,course,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,5,0,2,0,3,4,0,9,7,9
236,MS,F,17,R,GT3,T,0,3,other,health,reputation,father,0,1,0,no,no,no,no,yes,yes,yes,yes,3,2,2,0,2,4,0,11,12,13
237,MS,F,17,U,LE3,T,1,0,services,other,course,mother,0,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,3,0,0,4,32,5,8,6
238,GP,M,15,U,GT3,T,2,2,other,other,other,mother,0,0,0,no,no,no,no,no,yes,yes,yes,5,2,3,1,1,3,0,4,7,13
239,GP,F,16,U,GT3,T,0,0,services,health,reputation,mother,0,1,0,no,no,no,yes,yes,yes,yes,yes,3,0,2,1,1,4,12,7,7,18
240,GP,F,15,R,LE3,T,1,3,services,other,course,mother,0,1,0,no,no,no,yes,yes,yes,no,yes,3,3,4,1,0,0,2,13,11,15
241,GP,M,17,U,GT3,T,0,1,at_home,services,home,mother,0,1,0,no,no,no,yes,yes,yes,no,yes,4,3,1,1,2,0,0,5,12,10
242,GP,M,17,U,GT3,T,1,0,services,other,home,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,2,1,1,4,2,11,10,13
243,MS,M,15,U,LE3,T,1,3,other,other,course,mother,1,2,0,no,no,no,yes,yes,yes,no,no,3,3,3,1,2,4,2,16,15,16
244,GP,F,15,U,GT3,T,2,0,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,no,5,2,2,1,1,4,0,6,4,12
245,GP,M,16,U,LE3,T,0,1,at_home,other,other,mother,0,2,0,no,no,no,no,yes,no,yes,no,3,1,3,1,1,4,2,4,7,14
246,MS,F,15,U,LE3,T,1,0,other,health,course,mother,1,1,0,no,yes,no,no,yes,no,yes,no,4,2,4,0,1,3,3,17,6,17
247,MS,M,15,U,GT3,T,0,3,at_home,health,reputation,mother,2,0,0,no,yes,no,yes,yes,yes,yes,no,3,2,2,1,1,4,0,5,11,20
248,GP,F,15,U,GT3,T,2,2,other,services,home,father,0,0,0,yes,yes,no,no,yes,yes,no,no,5,2,2,1,4,1,14,15,5,16
249,MS,F,17,U,LE3,T,1,0,teacher,other,other,mother,1,1,1,no,no,no,no,yes,yes,yes,yes,3,2,2,1,1,3,1,13,9,20
250,GP,M,15,R,GT3,T,3,0,at_home,other,course,other,1,1,0,no,no,no,no,yes,yes,yes,yes,5,2,4,0,4,3,0,7,4,13
251,MS,M,15,U,GT3,T,0,1,services,teacher,reputation,mother,0,1,0,no,no,no,yes,yes,yes,yes,yes,4,3,3,0,1,4,0,8,7,7
252,MS,M,16,U,LE3,T,1,1,services,services,course,mother,0,1,0,no,no,no,no,yes,yes,yes,yes,4,3,3,1,1,5,0,16,12,12
253,MS,M,17,U,GT3,T,2,0,other,other,reputation,mother,0,2,0,no,no,no,no,yes,yes,yes,yes,3,4,3,0,1,5,2,10,12,12
254,GP,F,15,R,LE3,T,1,2,other,services,other,mother,3,1,0,no,yes,yes,yes,yes,yes,yes,yes,5,2,3,1,1,4,2,5,3,15
255,GP,F,15,U,GT3,T,3,2,other,other,home,mother,1,0,0,no,yes,yes,no,yes,yes,yes,yes,3,0,4,0,0,3,2,5,6,13
256,GP,M,16,U,GT3,T,1,-2,services,other,course,mother,0,1,0,no,no,no,no,yes,yes,no,no,4,3,2,1,1,5,1,12,4,6
257,GP,F,14,R,GT3,T,4,0,health,services,course,mother,1,0,0,no,yes,no,yes,yes,yes,yes,yes,5,4,2,0,3,4,0,2,8,15
258,MS,M,16,R,GT3,T,0,0,other,services,course,father,0,1,0,no,no,no,no,yes,no,no,no,2,2,3,1,0,4,0,6,6,12
259,MS,M,16,U,GT3,T,0,1,health,other,course,mother,0,0,0,no,no,no,no,yes,yes,yes,no,4,2,4,1,2,4,0,10,7,11
260,MS,F,16,U,GT3,A,0,0,at_home,other,reputation,father,1,1,1,no,no,no,no,yes,yes,no,yes,3,2,4,0,1,3,1,10,14,15
261,MS,M,15,R,GT3,T,1,1,services,other,course,mother,0,1,0,no,no,no,no,yes,yes,no,yes,4,0,1,1,1,5,3,8,6,10
262,MS,F,15,R,GT3,T,0,1,services,other,home,mother,1,0,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,4,9,9,5,16
263,MS,M,15,U,GT3,T,2,2,services,services,reputation,mother,2,3,0,yes,yes,no,no,yes,yes,no,no,3,2,3,0,1,5,11,12,10,9
264,MS,F,17,U,GT3,T,0,0,services,other,home,mother,1,1,0,no,no,no,yes,yes,yes,yes,yes,4,3,2,1,2,4,3,6,11,13
265,MS,F,16,U,GT3,T,1,3,other,health,home,father,1,2,0,no,yes,no,no,yes,yes,yes,no,1,3,2,0,0,1,39,12,9,20
266,GP,F,15,U,LE3,A,1,3,other,other,course,father,1,1,0,no,no,no,no,yes,yes,no,yes,4,2,2,0,1,4,1,7,6,7
267,MS,F,16,U,GT3,T,1,1,health,other,reputation,father,2,1,0,no,no,no,no,yes,no,yes,yes,5,2,4,1,2,3,0,16,7,15
268,GP,F,15,U,GT3,T,1,0,services,services,home,mother,1,0,0,no,no,no,no,yes,yes,no,no,3,2,5,1,0,5,3,9,13,20
269,GP,M,17,U,GT3,T,1,1,services,services,course,other,3,0,0,no,yes,no,no,yes,yes,yes,no,3,2,3,1,0,4,0,7,9,18
270,MS,F,15,U,LE3,T,3,2,health,other,course,mother,2,0,0,no,yes,no,no,yes,yes,yes,no,5,2,2,3,1,4,7,5,5,13
271,GP,M,14,U,GT3,T,2,2,services,other,course,mother,0,0,1,no,yes,no,no,yes,no,yes,yes,3,3,5,1,4,5,5,7,14,7
272,GP,F,16,U,LE3,T,1,1,other,other,other,mother,1,0,0,no,no,no,no,yes,yes,no,no,4,5,3,1,0,4,23,5,10,9
273,GP,F,14,U,LE3,T,1,1,other,services,reputation,mother,1,1,0,no,no,no,no,yes,no,yes,yes,3,2,3,2,2,4,3,5,9,12
274,MS,F,18,U,GT3,T,1,3,services,other,home,mother,1,1,0,no,no,no,yes,no,yes,yes,yes,3,2,2,1,1,4,34,6,11,12
275,GP,F,18,U,GT3,T,1,2,services,other,reputation,other,2,1,0,no,no,no,yes,yes,yes,yes,no,4,2,3,1,1,4,26,9,13,4
276,GP,F,15,R,LE3,T,0,1,other,other,course,mother,1,1,0,no,yes,no,yes,yes,no,yes,no,5,3,2,1,1,4,1,13,10,-6
277,GP,F,15,R,LE3,T,1,0,health,other,course,mother,0,1,0,no,yes,no,no,yes,yes,no,no,4,3,2,2,1,5,0,6,7,8
278,GP,M,17,R,GT3,T,2,0,services,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,2,2,4,1,1,4,0,9,12,13
279,GP,F,15,U,GT3,T,1,3,other,services,home,mother,0,1,0,no,yes,no,yes,yes,yes,yes,yes,5,2,3,0,3,4,7,10,14,8
280,GP,M,16,U,LE3,T,1,4,services,other,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,3,2,5,1,0,3,1,2,9,10
281,GP,M,16,R,LE3,T,3,0,other,other,course,mother,0,1,0,no,no,no,yes,yes,yes,yes,no,3,1,3,0,1,5,0,12,12,12
282,GP,F,15,R,GT3,A,1,1,at_home,at_home,other,father,0,0,0,no,no,no,no,yes,no,yes,no,3,4,2,1,3,4,0,1,16,18
283,GP,M,16,U,GT3,T,3,3,teacher,services,course,mother,0,2,0,no,yes,no,yes,yes,yes,no,no,4,2,3,1,1,4,0,4,5,17
284,MS,M,15,U,LE3,T,2,4,services,other,home,mother,0,1,0,no,yes,yes,no,yes,yes,yes,yes,4,0,5,1,3,3,1,5,5,21
285,GP,M,15,U,GT3,T,1,1,at_home,services,reputation,mother,0,1,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,4,0,6,8,15
286,MS,F,15,R,GT3,T,1,1,other,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,yes,3,3,5,1,1,4,3,5,9,12
287,GP,M,15,U,GT3,A,1,2,services,teacher,reputation,father,1,2,0,no,no,no,no,yes,yes,yes,no,4,2,4,0,1,4,1,10,9,6
288,MS,M,15,U,GT3,T,0,0,teacher,other,home,mother,0,0,0,yes,yes,no,no,yes,no,yes,yes,4,2,3,1,3,3,0,11,9,13
289,MS,F,16,U,GT3,T,2,0,health,teacher,course,father,0,1,0,no,no,no,yes,yes,yes,yes,no,2,3,4,1,1,4,12,3,13,16
290,GP,M,16,U,GT3,T,0,3,at_home,at_home,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,4,3,2,1,1,0,-1,15,15,17
291,MS,M,15,U,LE3,T,1,0,at_home,other,reputation,mother,0,2,0,no,yes,no,no,yes,no,no,no,4,2,2,1,4,5,12,9,6,13
292,GP,M,15,U,GT3,T,2,0,other,services,home,mother,1,0,0,no,no,no,no,yes,yes,yes,no,3,2,2,1,1,4,1,12,10,12
293,MS,F,16,U,LE3,T,1,2,other,services,reputation,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,3,2,0,14,16,17
294,MS,M,15,U,LE3,T,1,1,teacher,at_home,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,3,2,4,1,1,5,48,5,6,15
295,MS,F,16,U,GT3,T,1,2,at_home,services,reputation,mother,1,0,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,0,0,2,1,13,8,19
296,GP,M,19,U,GT3,T,2,1,at_home,at_home,course,mother,1,2,0,no,yes,no,no,yes,no,yes,yes,3,2,4,1,1,4,0,8,13,11
297,GP,F,16,R,LE3,T,1,1,other,services,reputation,mother,0,1,0,no,no,no,no,yes,yes,yes,yes,4,2,4,0,1,5,0,1,10,13
298,GP,M,17,U,LE3,T,1,3,teacher,teacher,reputation,mother,0,1,0,no,no,no,yes,yes,yes,yes,no,1,3,2,1,0,4,1,7,7,13
299,GP,F,17,U,GT3,T,0,1,other,other,reputation,mother,0,1,4,no,no,no,no,yes,yes,yes,no,3,5,3,0,1,5,1,18,9,16
300,GP,M,15,U,GT3,T,2,3,services,other,reputation,other,0,0,0,no,yes,no,yes,yes,yes,no,yes,5,2,3,0,1,0,0,6,6,19
301,MS,F,15,U,GT3,A,1,3,at_home,other,course,father,1,1,0,no,yes,no,no,yes,yes,no,yes,2,1,4,1,2,5,1,6,7,17
302,GP,F,16,U,GT3,T,1,1,teacher,other,course,mother,0,1,0,no,yes,no,no,no,yes,yes,yes,4,2,2,2,2,5,5,3,-2,7
303,MS,F,15,U,LE3,T,2,0,other,other,course,mother,2,1,0,no,no,no,no,yes,yes,yes,no,3,2,3,1,2,4,0,5,8,16
304,GP,F,18,R,GT3,T,1,0,other,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,2,1,1,4,0,2,4,7
305,MS,M,15,R,LE3,T,1,0,other,other,course,father,0,0,0,no,yes,no,no,yes,no,yes,yes,4,2,2,1,1,4,1,9,13,10
306,GP,F,16,U,GT3,T,2,1,at_home,other,course,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,3,2,1,0,4,3,1,7,18
307,GP,M,15,R,LE3,T,1,1,services,other,course,mother,0,0,0,no,yes,no,yes,yes,yes,yes,yes,4,2,2,1,3,4,1,10,7,8
308,MS,F,18,R,LE3,T,1,1,other,services,home,mother,1,1,0,yes,yes,no,no,yes,yes,yes,no,3,2,4,1,0,5,2,2,6,10
309,MS,F,17,U,GT3,T,1,2,at_home,services,course,father,1,0,0,no,yes,no,no,yes,yes,yes,no,4,3,2,2,3,4,1,8,9,16
310,GP,M,15,U,LE3,T,1,0,other,other,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,4,4,4,0,0,4,2,5,9,15
311,GP,F,16,R,LE3,T,1,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,no,no,3,3,5,0,1,4,1,6,16,8
312,GP,F,15,U,GT3,T,1,3,at_home,services,home,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,4,3,2,1,1,4,0,10,10,14
313,GP,F,16,R,LE3,T,2,1,services,services,home,mother,0,1,0,no,yes,no,yes,no,yes,yes,no,3,2,2,0,3,4,0,14,7,7
314,GP,F,16,R,GT3,A,0,2,teacher,at_home,other,father,1,0,0,no,no,no,yes,yes,yes,yes,yes,4,4,3,1,1,2,0,8,11,19
315,MS,M,14,U,LE3,T,0,3,services,other,reputation,mother,0,0,0,no,yes,no,no,yes,no,yes,no,3,3,1,1,4,3,3,11,-4,9
316,GP,F,16,U,GT3,T,3,-1,other,other,course,mother,0,1,0,no,no,no,yes,yes,yes,yes,yes,4,1,3,1,1,4,2,6,6,10
317,GP,M,15,U,GT3,T,1,0,services,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,4,0,0,4,3,7,4,9
318,MS,F,17,U,LE3,T,3,1,services,services,course,mother,0,3,0,no,yes,no,no,yes,yes,yes,yes,3,3,4,1,0,2,0,3,9,9
319,GP,F,20,U,LE3,T,1,1,services,other,course,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,4,2,3,1,1,4,3,8,8,17
320,GP,F,17,U,GT3,T,3,1,other,services,course,mother,0,1,0,no,no,no,yes,yes,yes,yes,no,3,2,3,1,2,4,0,12,4,13
321,GP,F,15,U,GT3,T,2,0,other,services,course,mother,0,2,0,no,yes,no,no,yes,yes,yes,no,2,2,1,1,1,4,1,13,8,13
322,MS,F,16,R,GT3,T,2,2,services,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,2,3,4,1,0,4,4,5,5,10
323,GP,F,15,U,GT3,T,2,2,at_home,other,home,mother,2,1,0,no,yes,no,yes,yes,yes,yes,yes,4,2,2,1,1,5,3,7,13,5
324,GP,M,14,R,GT3,T,1,3,other,health,reputation,mother,2,0,0,no,no,no,no,no,yes,yes,no,3,2,4,1,1,4,1,12,5,4
325,MS,M,18,R,LE3,A,1,0,other,services,course,mother,1,0,0,no,no,no,yes,yes,yes,yes,no,3,3,4,0,1,0,0,1,5,13
326,GP,F,16,U,LE3,T,2,0,at_home,other,reputation,mother,0,1,0,no,yes,no,no,yes,yes,yes,no,3,2,2,1,1,4,0,5,15,9
327,MS,M,15,R,LE3,T,1,2,teacher,other,course,other,0,2,0,no,no,no,no,no,yes,no,no,3,1,5,1,1,4,3,2,6,14
328,MS,M,15,U,GT3,T,2,0,teacher,services,course,mother,0,2,0,no,yes,no,no,no,yes,yes,yes,3,2,3,0,1,5,1,7,18,13
329,MS,M,15,U,GT3,T,0,0,other,other,reputation,mother,2,0,0,no,yes,no,no,yes,yes,yes,no,3,2,3,0,0,3,0,10,3,15
330,MS,F,17,U,GT3,T,2,2,other,other,course,mother,0,0,0,no,no,no,yes,yes,yes,yes,no,4,2,4,1,0,4,0,9,14,10
331,MS,F,15,R,LE3,T,1,1,other,teacher,course,mother,1,0,0,yes,yes,no,no,yes,yes,yes,no,2,2,3,0,1,4,22,8,5,18
332,MS,M,15,U,GT3,T,1,0,other,other,course,mother,0,0,0,no,yes,no,no,yes,yes,yes,no,3,2,3,1,0,5,0,5,3,18
333,GP,M,16,R,GT3,T,3,1,services,at_home,course,father,1,1,0,no,yes,no,no,yes,yes,yes,no,4,3,5,1,1,4,3,8,9,8
334,GP,M,14,U,LE3,T,0,3,other,other,course,father,0,0,0,no,no,no,yes,yes,yes,yes,no,3,2,2,1,0,4,0,3,14,15
335,MS,F,15,U,LE3,T,-1,0,other,other,course,mother,0,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,4,0,9,4,12
336,GP,M,16,U,GT3,T,3,4,at_home,services,reputation,mother,1,1,0,no,yes,no,no,yes,yes,no,no,3,2,3,0,1,4,9,8,8,12
337,MS,F,16,R,LE3,A,1,2,other,services,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,no,no,5,3,2,1,2,4,0,7,11,11
338,GP,M,17,R,GT3,T,1,1,other,at_home,reputation,mother,0,0,1,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,4,5,7,4,4
339,GP,M,15,R,LE3,A,0,3,services,services,course,mother,0,2,0,no,yes,no,no,yes,yes,yes,no,2,0,3,1,2,4,5,7,13,9
340,GP,M,16,U,GT3,A,1,0,services,other,course,mother,0,1,0,no,yes,no,no,yes,yes,no,no,3,4,3,0,1,4,0,2,13,10
341,MS,M,15,U,GT3,T,2,4,teacher,services,course,mother,0,0,0,no,no,no,no,yes,yes,no,no,3,3,2,1,1,5,12,14,7,17
342,MS,F,15,U,LE3,T,0,1,other,other,course,mother,1,0,0,no,no,no,yes,yes,no,yes,no,5,0,4,1,1,1,6,11,7,8
343,MS,M,15,R,GT3,T,0,3,services,services,course,mother,0,0,0,no,yes,no,no,yes,yes,yes,no,2,4,3,6,1,4,3,9,7,18
344,GP,F,15,U,GT3,T,1,0,health,other,reputation,father,0,0,0,no,yes,no,no,yes,yes,yes,yes,3,2,2,1,3,5,2,12,10,20
345,GP,M,16,R,GT3,T,0,3,other,services,course,mother,1,2,0,no,no,no,no,yes,yes,no,no,4,1,3,0,1,4,3,15,10,14
346,GP,M,16,R,GT3,T,3,1,other,other,other,father,0,1,0,no,no,no,yes,yes,yes,no,no,3,2,5,0,1,5,0,6,9,15
347,GP,F,18,R,GT3,T,1,3,other,health,course,other,3,1,0,no,yes,no,yes,no,yes,yes,yes,4,4,4,0,3,5,4,5,6,13
348,GP,M,16,U,GT3,T,0,4,services,health,home,mother,2,1,0,no,yes,no,no,yes,yes,no,no,4,3,3,1,4,5,15,14,8,17
349,MS,F,16,U,GT3,T,0,2,services,at_home,other,mother,0,1,0,no,no,no,no,yes,yes,yes,yes,3,3,2,1,3,3,4,9,5,15
350,GP,F,15,U,GT3,T,3,1,other,other,course,other,0,2,0,no,yes,no,no,no,yes,yes,no,3,2,1,0,1,1,3,6,13,10
351,MS,F,17,U,GT3,T,3,0,other,other,course,mother,0,1,0,no,yes,no,no,yes,yes,no,no,4,2,2,1,1,4,1,6,11,14
352,MS,M,16,U,GT3,T,1,0,other,at_home,reputation,mother,0,1,0,no,no,no,yes,yes,yes,no,no,3,2,3,1,1,5,0,6,5,14
353,MS,F,16,U,GT3,T,0,1,other,services,reputation,mother,0,0,0,no,no,no,no,yes,yes,yes,no,2,3,3,1,0,5,0,13,7,17
354,MS,F,15,U,GT3,T,2,4,at_home,services,other,mother,1,1,0,no,no,no,yes,yes,yes,yes,yes,4,3,3,1,1,4,3,12,7,12
355,GP,M,15,U,GT3,T,3,1,at_home,other,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,yes,5,2,2,3,1,4,0,9,5,6
356,GP,F,16,U,GT3,T,2,2,other,other,other,mother,1,0,0,no,no,no,no,yes,no,yes,yes,3,2,2,1,1,5,0,5,5,14
357,MS,F,16,U,GT3,T,0,2,health,services,course,mother,0,1,0,no,yes,no,no,yes,yes,no,no,4,2,4,1,0,4,2,14,9,12
358,MS,M,18,U,LE3,T,3,1,services,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,0,2,4,2,7,9,21
